"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","gene_symbol","Candidate_EMG","delabel"
"SK1_07T01960.1|CDS=1-651|Name=YGL037C|PNC1",1281.008044595,1.40223096716604,0.0836109917951399,16.7708926429401,3.98477301456754e-63,1.58912747820953e-59,"Up Regulated","PNC1",FALSE,"PNC1"
"SK1_12T04670.1|CDS=1-1764|Name=YPR194C|OPT2",523.759892847864,1.39535465415593,0.110564879424695,12.6202340328721,1.63335154653163e-36,3.25690298378407e-33,"Up Regulated","OPT2",FALSE,"OPT2"
"SK1_12T04700.1|CDS=1-1704|Name=YOL156W/YJL219W|YOL156W/YJL219W",276.278816211731,1.59317741006055,0.134214818388788,11.8703540278653,1.68751995722388e-32,2.24327652980294e-29,"Up Regulated","YOL156W/YJL219W",FALSE,"YOL156W/YJL219W"
"SK1_10T00040.1|CDS=1-4653|Name=YJL222W|VTH2",1389.08019076907,0.963346034852396,0.0822054462156051,11.7187617025491,1.02154251586799e-31,8.14782310656307e-29,"Up Regulated","VTH2",FALSE,"VTH2"
"SK1_12T04720.1|CDS=1-4653|Name=YJL222W|VTH2",1389.08019076907,0.963346034852396,0.0822054462156051,11.7187617025491,1.02154251586799e-31,8.14782310656307e-29,"Up Regulated","VTH2",FALSE,"VTH2"
"SK1_04T05630.1|CDS=1-921|Name=YDR374C|PHO92",1446.4449966409,0.761587858402169,0.0884577243942724,8.60962526017097,7.32997917887449e-18,4.87199282755858e-15,"Up Regulated","PHO92",FALSE,"PHO92"
"SK1_09T01010.1|CDS=1-984|Name=YIL063C|YRB2",2103.7717556075,0.694093569826049,0.103358498675702,6.71539910814535,1.87552160228585e-11,1.068511449988e-08,"Up Regulated","YRB2",FALSE,NA
"SK1_07T03560.1|CDS=1-1233|Name=YGR142W|BTN 2.00",1065.50359253637,0.654771561766255,0.0982884613214336,6.66173376776089,2.70615924407895e-11,1.34902038317336e-08,"Up Regulated","BTN 2.00",FALSE,NA
"SK1_16T00430.1|CDS=1-2130|Name=YPL240C|HSP82",6996.59108431995,0.500649994692559,0.0794008283841487,6.30534976625643,2.87543798243694e-10,1.27413851932872e-07,"Not Significant","HSP82",FALSE,NA
"SK1_04T04560.1|CDS=1-2436|Name=YDR258C|HSP78",1322.13438541375,0.466829042576895,0.0831796047056754,5.61230176830887,1.99652866229155e-08,7.96215630521869e-06,"Not Significant","HSP78",FALSE,NA
