,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_symbol,Candidate_EMG,delabel,
SK1_10T01020.1|CDS=1-1938|Name=YJL106W|IME2,491.6266259,3.755706401,0.26154575,299.5247313,1.37E-63,7.58E-60,p < 0.05,IME2,TRUE,IME2,1
SK1_10T01190.1|CDS=1-2490|Name=YJL089W|SIP4,1051.000057,4.009270966,0.30369884,284.4619316,2.43E-60,6.72E-57,p < 0.05,SIP4,FALSE,SIP4,1
SK1_10T00630.1|CDS=1-1602|Name=YJL153C|INO1,357.6324837,2.221063001,0.220053582,206.0517439,1.88E-43,3.46E-40,p < 0.05,INO1,FALSE,INO1,1
SK1_08T00230.1|CDS=1-2157|Name=YHL024W|RIM4,1261.410542,2.343268873,0.220906016,201.7302347,1.60E-42,2.20E-39,p < 0.05,RIM4,FALSE,RIM4,1
SK1_13T04140.1|CDS=1-5358|Name=YMR306W|FKS3,685.1083674,1.918640448,0.18146149,182.1587264,2.56E-38,2.83E-35,p < 0.05,FKS3,FALSE,FKS3,1
SK1_09T01280.1|CDS=1-3105|Name=YIL031W|ULP2,1251.029862,1.846360495,0.179230088,177.3542206,2.76E-37,2.54E-34,p < 0.05,ULP2,FALSE,ULP2,1
SK1_15T00690.1|CDS=1-2976|Name=YOL084W|PHM7,167.4852717,5.389813129,0.500471859,158.6937156,2.79E-33,2.20E-30,p < 0.05,PHM7,FALSE,PHM7,1
SK1_08T00610.1|CDS=1-876|Name=YHR014W|SPO13,178.2552367,2.517588432,0.28996952,130.8926816,2.51E-27,1.73E-24,p < 0.05,SPO13,FALSE,SPO13,1
SK1_09T00920.1|CDS=1-1818|Name=YIL072W|HOP1,189.0375354,2.317858908,0.298215472,105.5950055,6.33E-22,3.88E-19,p < 0.05,HOP1,TRUE,HOP1,1
SK1_15T00500.1|CDS=1-1059|Name=YOL104C|NDJ1,152.0557779,4.583849547,0.515487455,104.3423308,1.17E-21,6.46E-19,p < 0.05,NDJ1,FALSE,NDJ1,1
SK1_12T00240.1|CDS=1-1146|Name=YLL039C|UBI4,2449.155363,1.187162854,0.206026995,101.0540845,5.87E-21,2.95E-18,p < 0.05,UBI4,FALSE,UBI4,1
SK1_16T01320.1|CDS=1-2613|Name=YPL147W|PXA1,237.3328814,1.595049691,0.229168367,99.12073566,1.51E-20,6.97E-18,p < 0.05,PXA1,FALSE,PXA1,1
SK1_16T02740.1|CDS=1-2043|Name=YPR007C|REC8,232.092871,1.778749451,0.243801496,94.07744422,1.79E-19,7.61E-17,p < 0.05,REC8,FALSE,REC8,1
SK1_14T01240.1|CDS=1-894|Name=YNL196C|SLZ1,98.12399001,3.07849181,0.396198393,92.79636324,3.35E-19,1.32E-16,p < 0.05,SLZ1,FALSE,SLZ1,1
SK1_16T01650.1|CDS=1-1002|Name=YPL111W|CAR1,956.1725816,1.376131781,0.203995354,92.2885999,4.30E-19,1.58E-16,p < 0.05,CAR1,FALSE,CAR1,1
SK1_14T02880.1|CDS=1-1896|Name=YNL012W|SPO1,284.3973487,1.970194702,0.251704102,91.21770444,7.26E-19,2.51E-16,p < 0.05,SPO1,FALSE,SPO1,1
SK1_11T02190.1|CDS=1-2703|Name=YKR009C|FOX2,282.143669,1.436855819,0.22957691,83.76391924,2.77E-17,9.02E-15,p < 0.05,FOX2,FALSE,FOX2,1
SK1_09T00460.1|CDS=1-1704|Name=YIL121W|QDR2,276.1047211,1.281095397,0.191639198,81.58011451,8.06E-17,2.47E-14,p < 0.05,QDR2,FALSE,QDR2,1
SK1_07T01760.1|CDS=1-3537|Name=YGL062W|PYC1,3753.680645,0.981041673,0.178707224,79.12585593,2.67E-16,7.76E-14,p < 0.05,PYC1,FALSE,PYC1,1
SK1_03T01530.1|CDS=1-1146|Name=YGR295C|COS6,128.1374507,1.551626267,0.247132027,78.19713518,4.20E-16,1.16E-13,p < 0.05,COS6,FALSE,COS6,1
SK1_04T04790.1|CDS=1-2628|Name=YDR285W|ZIP1,658.7825395,1.568963746,0.24889405,77.2561264,6.64E-16,1.75E-13,p < 0.05,ZIP1,TRUE,ZIP1,1
SK1_13T02400.1|CDS=1-1017|Name=YMR127C|SAS2,169.0442548,1.259931107,0.207927481,75.71282702,1.41E-15,3.54E-13,p < 0.05,SAS2,FALSE,SAS2,1
SK1_04T02380.1|CDS=1-489|Name=YDR014W-A|HED1,181.3654423,2.103036349,0.320606703,70.17670183,2.08E-14,4.93E-12,p < 0.05,HED1,FALSE,NA,1
SK1_06T00630.1|CDS=1-2637|Name=YFL003C|MSH4,134.2082259,2.292854757,0.32027538,70.11863576,2.14E-14,4.93E-12,p < 0.05,MSH4,FALSE,NA,1
SK1_07T00090.1|CDS=1-3525|Name=YGL251C|HFM1,190.3022794,1.523512158,0.273529169,69.96716359,2.31E-14,5.10E-12,p < 0.05,HFM1,FALSE,NA,1
SK1_02T02810.1|CDS=1-1695|Name=YBR186W|PCH2,531.5669676,1.21295142,0.213142442,69.59000613,2.77E-14,5.89E-12,p < 0.05,PCH2,FALSE,NA,1
SK1_10T01060.1|CDS=1-2460|Name=YJL102W|MEF2,1233.474378,0.963642643,0.168328952,67.41325266,7.98E-14,1.63E-11,p < 0.05,MEF2,FALSE,NA,1
SK1_07T01220.1|CDS=1-1935|Name=YGL124C|MON1,962.3469843,-0.827651273,0.140505668,63.45138969,5.45E-13,1.08E-10,p < 0.05,MON1,FALSE,NA,0
SK1_05T02530.1|CDS=1-1005|Name=YER179W|DMC1,90.90014824,2.680325784,0.415263314,62.9435408,6.97E-13,1.33E-10,p < 0.05,DMC1,FALSE,NA,1
SK1_04T00860.1|CDS=1-2706|Name=YDL154W|MSH5,251.4673731,0.902653633,0.179750182,61.28915858,1.55E-12,2.86E-10,p < 0.05,MSH5,FALSE,NA,1
