"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","gene_symbol","Candidate_EMG","delabel"
"SK1_12T04670.1|CDS=1-1764|Name=YPR194C|OPT2",573.811109855528,1.59825696988181,0.12489147507096,12.7971662515294,1.7004375455071e-37,9.34560475010701e-34,"Up Regulated","OPT2",FALSE,"OPT2"
"SK1_10T00040.1|CDS=1-4653|Name=YJL222W|VTH2",1658.10278635884,1.06305655989331,0.0962292115812887,11.0471294778852,2.26336609486149e-28,4.14648668578626e-25,"Up Regulated","VTH2",FALSE,"VTH2"
"SK1_12T04720.1|CDS=1-4653|Name=YJL222W|VTH2",1658.10278635884,1.06305655989331,0.0962292115812887,11.0471294778852,2.26336609486149e-28,4.14648668578626e-25,"Up Regulated","VTH2",FALSE,"VTH2"
"SK1_12T04700.1|CDS=1-1704|Name=YOL156W/YJL219W|YOL156W/YJL219W",355.763835208832,1.35493884163219,0.143143609249936,9.46559087570859,2.91905974211766e-21,4.01078808566966e-18,"Up Regulated","YOL156W/YJL219W",FALSE,"YOL156W/YJL219W"
"SK1_16T02690.1|CDS=1-1551|Name=YPR002W|PDH1",345.407815276977,-1.17960765900412,0.156644194294762,-7.53049076804226,5.0549965309646e-14,5.55645218683629e-11,"Down Regulated","PDH1",FALSE,NA
"SK1_02T00620.1|CDS=1-774|Name=YBL043W|ECM13",504.985478166177,-0.950896731339048,0.15145366844597,-6.27846615467272,3.41929439786208e-10,2.34905525133125e-07,"Down Regulated","ECM13",FALSE,NA
"SK1_07T04490.1|CDS=1-441|Name=YGR243W|MPC3",118.726082753456,-1.06200275390135,0.192063222218725,-5.52944359483838,3.21248069959676e-08,1.96175488055375e-05,"Down Regulated","MPC3",FALSE,NA
"SK1_10T00050.1|CDS=1-1770|Name=YIL172C/YOL157C/YJL221C|YIL172C/YOL157C/YJL221C",117.307864839372,1.10706126916943,0.208017063282283,5.32197335978696,1.02647607139728e-07,4.70126040699956e-05,"Up Regulated","YIL172C/YOL157C/YJL221C",FALSE,NA
"SK1_12T03500.1|CDS=1-261|Name=YLR327C|TMA10",124.479639141094,-1.08188604025671,0.209336063171894,-5.16817801894139,2.36387099234662e-07,9.53255936170806e-05,"Down Regulated","TMA10",FALSE,NA
"SK1_14T01950.1|CDS=1-1665|Name=YNL117W|MLS1",78.307226447473,-1.36040374205779,0.263604575907878,-5.16077438099258,2.45930425794658e-07,9.53255936170806e-05,"Down Regulated","MLS1",FALSE,NA
"SK1_16T02730.1|CDS=1-1728|Name=YPR006C|ICL2",235.906904016555,-0.931562454967619,0.180877858078708,-5.150229358434,2.60168104850111e-07,9.53255936170806e-05,"Down Regulated","ICL2",FALSE,NA
"SK1_08T01390.1|CDS=1-1731|Name=YHR092C|HXT4",3641.00595362475,-0.857052283330245,0.17449337899607,-4.91166076478779,9.030819863632e-07,0.000291961093944244,"Down Regulated","HXT4",FALSE,NA
