,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_symbol,Candidate_EMG,delabel,Candidate_w_FC
SK1_01T00840.1|CDS=1-3561|Name=YAL063C|FLO9,6331.074703,-4.786752911,0.19244312,-24.87359849,1.44E-136,7.20E-134,DOWN,FLO9,FALSE,FLO9,HIT
SK1_07T00050.1|CDS=1-1131|Name=YGL255W|ZRT1,4211.272659,-3.285989244,0.155660449,-21.1099818,6.44E-99,1.31E-96,DOWN,ZRT1,FALSE,ZRT1,HIT
SK1_13T04110.1|CDS=1-1047|Name=YMR303C|ADH2,15459.46466,-2.656957831,0.128595887,-20.6612971,7.73E-95,1.42E-92,DOWN,ADH2,FALSE,ADH2,HIT
SK1_02T02900.1|CDS=1-1665|Name=YBR196C|PGI1,3416.302807,-3.615256256,0.183137909,-19.74062207,9.66E-87,1.48E-84,DOWN,PGI1,FALSE,PGI1,HIT
SK1_12T01130.1|CDS=1-1098|Name=YLR056W|ERG3,7773.823692,-3.31418734,0.172791672,-19.18024925,5.41E-82,7.85E-80,DOWN,ERG3,FALSE,ERG3,HIT
SK1_10T00820.1|CDS=1-6645|Name=YJL130C|URA2,7323.154331,-2.794503907,0.146644243,-19.05634925,5.82E-81,8.23E-79,DOWN,URA2,FALSE,URA2,HIT
SK1_03T00370.1|CDS=1-2400|Name=YCL030C|HIS4,2218.304393,-3.732030983,0.209195324,-17.83993497,3.46E-71,4.34E-69,DOWN,HIS4,FALSE,HIS4,HIT
SK1_08T02170.1|CDS=1-1314|Name=YHR174W|ENO2,4688.610868,-4.321708289,0.256361089,-16.85789486,9.18E-64,9.73E-62,DOWN,ENO2,FALSE,ENO2,HIT
SK1_07T02870.1|CDS=1-1782|Name=YGR065C|VHT1,3206.51742,-3.03360916,0.181924502,-16.67509939,1.99E-62,2.03E-60,DOWN,VHT1,FALSE,VHT1,HIT
SK1_12T03280.1|CDS=1-1335|Name=YLR303W|MET17,2562.296763,-3.578879059,0.216256297,-16.54924785,1.62E-61,1.62E-59,DOWN,MET17,FALSE,MET17,HIT
SK1_13T03520.1|CDS=1-537|Name=YMR242C|RPL20A,565.8247912,-2.550462197,0.155987414,-16.35043576,4.32E-60,4.25E-58,DOWN,RPL20A,FALSE,RPL20A,HIT
SK1_10T00300.1|CDS=1-393|Name=YJL190C|RPS22A,441.2336096,-2.635900713,0.166301537,-15.85012841,1.40E-56,1.29E-54,DOWN,RPS22A,FALSE,RPS22A,HIT
SK1_11T02460.1|CDS=1-1809|Name=YKR039W|GAP1,5080.643675,-3.208375303,0.207850243,-15.43599492,9.37E-54,7.95E-52,DOWN,GAP1,FALSE,GAP1,HIT
SK1_05T01260.1|CDS=1-1584|Name=YER052C|HOM3,3215.489753,-2.781583692,0.181833479,-15.29742324,7.95E-53,6.45E-51,DOWN,HOM3,FALSE,HOM3,HIT
SK1_12T01010.1|CDS=1-1692|Name=YLR044C|PDC1,10589.76302,-4.095529041,0.275082174,-14.88838399,3.92E-50,2.96E-48,DOWN,PDC1,FALSE,PDC1,HIT
SK1_02T02410.1|CDS=1-1056|Name=YBR145W|ADH5,365.4975953,-3.164217046,0.214283521,-14.76649736,2.41E-49,1.77E-47,DOWN,ADH5,FALSE,ADH5,HIT
SK1_02T01450.1|CDS=1-2070|Name=YBR043C|QDR3,1657.571042,-2.880150226,0.19519005,-14.75562013,2.83E-49,2.05E-47,DOWN,QDR3,FALSE,QDR3,HIT
SK1_16T03340.1|CDS=1-2043|Name=YPR074C|TKL1,2860.748055,-2.833163592,0.193708755,-14.62589333,1.92E-48,1.36E-46,DOWN,TKL1,FALSE,TKL1,HIT
SK1_10T01200.1|CDS=1-1017|Name=YJL088W|ARG3,1350.164303,-2.715779384,0.189857884,-14.30427498,2.06E-46,1.42E-44,DOWN,ARG3,FALSE,ARG3,HIT
SK1_04T01540.1|CDS=1-432|Name=YDL083C|RPS16B,440.8763541,-2.263244801,0.159089559,-14.2262309,6.30E-46,4.18E-44,DOWN,RPS16B,FALSE,RPS16B,HIT
SK1_07T04020.1|CDS=1-999|Name=YGR192C|TDH3,35829.1835,-3.672092504,0.258214767,-14.22107861,6.78E-46,4.45E-44,DOWN,TDH3,FALSE,TDH3,HIT
SK1_07T01230.1|CDS=1-765|Name=YGL123W|RPS2,1987.190541,-2.183704901,0.155851419,-14.01145344,1.33E-44,8.12E-43,DOWN,RPS2,FALSE,RPS2,HIT
SK1_15T00090.1|CDS=1-1029|Name=YOL151W|GRE2,370.4090107,-2.929431059,0.209345977,-13.99325226,1.71E-44,1.04E-42,DOWN,GRE2,FALSE,GRE2,HIT
SK1_12T00630.1|CDS=1-1572|Name=YLR004C|THI73,572.1325403,-2.409386248,0.174942784,-13.77242427,3.73E-43,2.17E-41,DOWN,THI73,FALSE,THI73,HIT
SK1_14T00230.1|CDS=1-2292|Name=YNL311C|SKP2,260.6449167,-2.995382194,0.217839309,-13.75042093,5.06E-43,2.91E-41,DOWN,SKP2,FALSE,SKP2,HIT
SK1_06T00980.1|CDS=1-765|Name=YFR031C-A|RPL2A,1583.223803,-2.207445416,0.161792284,-13.64370016,2.20E-42,1.25E-40,DOWN,RPL2A,FALSE,RPL2A,HIT
SK1_07T02020.1|CDS=1-321|Name=YGL030W|RPL30,625.7155813,-2.604257756,0.193412598,-13.4647783,2.52E-41,1.40E-39,DOWN,RPL30,FALSE,RPL30,HIT
SK1_12T02100.1|CDS=1-459|Name=YLR167W|RPS31,2743.931784,-2.240268093,0.166866579,-13.42550499,4.29E-41,2.32E-39,DOWN,RPS31,FALSE,RPS31,HIT
SK1_07T03880.1|CDS=1-1491|Name=YGR175C|ERG1,4325.947397,-1.643557544,0.122461944,-13.42096568,4.56E-41,2.44E-39,DOWN,ERG1,FALSE,ERG1,HIT
SK1_04T06500.1|CDS=1-411|Name=YDR471W|RPL27B,272.4616071,-2.404075766,0.182833107,-13.14901773,1.72E-39,8.88E-38,DOWN,RPL27B,FALSE,RPL27B,HIT
SK1_04T06310.1|CDS=1-441|Name=YDR450W|RPS18A,1205.662361,-2.149784019,0.164145655,-13.09680731,3.43E-39,1.72E-37,DOWN,RPS18A,FALSE,RPS18A,HIT
SK1_15T02320.1|CDS=1-573|Name=YOR096W|RPS7A,453.9733298,-2.141969978,0.166553521,-12.8605506,7.50E-38,3.60E-36,DOWN,RPS7A,FALSE,NA,HIT
