,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_symbol,Candidate_EMG,delabel
SK1_16T01510.1|CDS=1-2691|Name=YPL126W|NAN1,548.481778,1.062817048,0.163575869,6.497395104,8.17E-11,4.75E-10,UP,NAN1,FALSE,NA
SK1_16T04010.1|CDS=1-435|Name=YPR153W|MAY24,131.9584826,1.443390243,0.279280134,5.168252465,2.36E-07,7.96E-07,UP,MAY24,FALSE,NA
SK1_13T01880.1|CDS=1-552|Name=YMR072W|ABF2,5344.752006,1.286025857,0.227455634,5.653963521,1.57E-08,6.35E-08,UP,ABF2,FALSE,NA
SK1_12T01820.1|CDS=1-2313|Name=YLR131C|ACE2,552.1192979,0.959777821,0.169287568,5.669511531,1.43E-08,5.86E-08,UP,ACE2,FALSE,NA
SK1_04T00430.1|CDS=1-1872|Name=YDL203C|ACK1,488.3756804,1.164624769,0.135166115,8.616247983,6.92E-18,1.20E-16,UP,ACK1,FALSE,NA
SK1_16T00160.1|CDS=1-630|Name=YPL267W|ACM1,572.2476695,0.870500381,0.201708011,4.315646052,1.59E-05,4.02E-05,UP,ACM1,FALSE,NA
SK1_04T06290.1|CDS=1-1305|Name=YDR448W|ADA2,235.8120259,0.941369941,0.166712011,5.646683386,1.64E-08,6.61E-08,UP,ADA2,FALSE,NA
SK1_13T02940.1|CDS=1-597|Name=YMR184W|ADD37,1319.821143,1.970844475,0.212886724,9.257714337,2.09E-20,5.32E-19,UP,ADD37,FALSE,NA
"SK1_07T00240.1|CDS=1-2409|Name=YGL234W|ADE5,7",1499.344345,0.870229898,0.129212374,6.734880478,1.64E-11,1.07E-10,UP,"ADE5,7",FALSE,NA
SK1_11T02460.1|CDS=1-1809|Name=YKR039W|GAP1,2805.67705,-2.66138776,0.161526717,-16.47645544,5.42E-61,3.00E-58,DOWN,GAP1,FALSE,GAP1
SK1_03T00700.1|CDS=1-852|Name=YCR010C|ADY2,114493.9437,0.70989722,0.228848822,3.10203571,0.001921948,0.003470427,UP,ADY2,FALSE,NA
SK1_04T00100.1|CDS=1-2373|Name=YDL239C|ADY3,6396.242474,1.704012641,0.37122724,4.590214445,4.43E-06,1.21E-05,UP,ADY3,FALSE,NA
"SK1_02T03020.1|CDS=1-5508|Name=YBR208C|DUR1,2",1944.246671,-2.57932258,0.163812275,-15.74560016,7.36E-56,3.13E-53,DOWN,"DUR1,2",FALSE,"DUR1,2"
SK1_12T02640.1|CDS=1-1482|Name=YLR227C|ADY4,1655.462935,2.120229545,0.493500434,4.296307354,1.74E-05,4.35E-05,UP,ADY4,FALSE,NA
SK1_13T03900.1|CDS=1-1743|Name=YMR282C|AEP2,393.1903071,1.180198035,0.132880731,8.881634151,6.59E-19,1.37E-17,UP,AEP2,FALSE,NA
SK1_16T02630.1|CDS=1-1821|Name=YPL005W|AEP3,398.0393219,1.076284222,0.178832934,6.018378139,1.76E-09,8.28E-09,UP,AEP3,FALSE,NA
SK1_04T06970.1|CDS=1-1449|Name=YDR524C|AGE1,769.6973275,2.547453779,0.230148583,11.06873546,1.78E-28,1.26E-26,UP,AGE1,FALSE,NA
SK1_04T01640.1|CDS=1-2955|Name=YDL073W|AHK1,1011.167134,1.116734273,0.15239721,7.327786845,2.34E-13,2.07E-12,UP,AHK1,FALSE,NA
SK1_12T01640.1|CDS=1-531|Name=YLR109W|AHP1,2304.891944,1.30683998,0.195341114,6.69004057,2.23E-11,1.43E-10,UP,AHP1,FALSE,NA
SK1_16T01210.1|CDS=1-2268|Name=YPL158C|AIM44,1281.307441,1.331389259,0.179801052,7.404791273,1.31E-13,1.21E-12,UP,AIM44,FALSE,NA
SK1_08T02420.1|CDS=1-933|Name=YHR199C|AIM46,972.115208,0.995873773,0.143202844,6.954287657,3.54E-12,2.60E-11,UP,AIM46,FALSE,NA
SK1_09T00850.1|CDS=1-1083|Name=YIL079C|AIR1,146.3999017,2.574732251,0.259779909,9.911206211,3.72E-23,1.38E-21,UP,AIR1,FALSE,NA
SK1_04T00680.1|CDS=1-1035|Name=YDL175C|AIR2,262.920877,0.977188682,0.138144119,7.073690063,1.51E-12,1.18E-11,UP,AIR2,FALSE,NA
SK1_13T02790.1|CDS=1-1521|Name=YMR169C|ALD3,216.0658822,0.709885044,0.197219413,3.599468395,0.000318868,0.000650562,UP,ALD3,FALSE,NA
SK1_16T02100.1|CDS=1-1503|Name=YPL061W|ALD6,397.8605289,2.035251807,0.201293844,10.11084971,4.95E-24,2.03E-22,UP,ALD6,FALSE,NA
SK1_15T03030.1|CDS=1-1860|Name=YOR175C|ALE1,4245.18046,0.745286458,0.208737063,3.570455806,0.000356361,0.000721993,UP,ALE1,FALSE,NA
SK1_05T00100.1|CDS=1-1773|Name=YEL063C|CAN1,2553.073406,-1.616817783,0.115505028,-13.99781303,1.61E-44,3.29E-42,DOWN,CAN1,FALSE,NA
SK1_02T01700.1|CDS=1-714|Name=YBR070C|ALG14,564.8179545,1.072568517,0.151333828,7.087433999,1.37E-12,1.08E-11,UP,ALG14,FALSE,NA
SK1_02T03340.1|CDS=1-1347|Name=YBR243C|ALG7,799.9008579,0.738611846,0.108992209,6.776739838,1.23E-11,8.19E-11,UP,ALG7,FALSE,NA
SK1_15T02070.1|CDS=1-1734|Name=YOR067C|ALG8,418.7057305,0.762933541,0.136976053,5.569831544,2.55E-08,9.96E-08,UP,ALG8,FALSE,NA
SK1_14T01040.1|CDS=1-1668|Name=YNL219C|ALG9,3677.753585,2.086420775,0.23134501,9.018654752,1.90E-19,4.28E-18,UP,ALG9,FALSE,NA
SK1_07T02100.1|CDS=1-2283|Name=YGL021W|ALK 1.00,312.7747159,0.853516855,0.16847383,5.066168755,4.06E-07,1.30E-06,UP,ALK 1.00,FALSE,NA
SK1_02T00970.1|CDS=1-2031|Name=YBL009W|ALK 2.00,1691.939612,1.352610331,0.249865023,5.413364042,6.19E-08,2.29E-07,UP,ALK 2.00,FALSE,NA
SK1_14T00590.1|CDS=1-1722|Name=YNL270C|ALP1,1750.666529,1.563993254,0.202069757,7.739868039,9.95E-15,1.06E-13,UP,ALP1,FALSE,NA
SK1_12T01440.1|CDS=1-1779|Name=YLR089C|ALT1,1023.39813,0.666836045,0.103521444,6.441525754,1.18E-10,6.64E-10,UP,ALT1,FALSE,NA
SK1_07T04340.1|CDS=1-1782|Name=YGR225W|AMA1,23042.16115,2.963363473,0.315777933,9.384327299,6.33E-21,1.71E-19,UP,AMA1,FALSE,NA
SK1_13T00920.1|CDS=1-2433|Name=YML035C|AMD 1.00,2575.270973,1.925818112,0.312543541,6.16175943,7.19E-10,3.56E-09,UP,AMD 1.00,FALSE,NA
SK1_02T03040.1|CDS=1-975|Name=YBR211C|AME1,428.0797629,1.240210974,0.148986003,8.324345546,8.48E-17,1.25E-15,UP,AME1,FALSE,NA
SK1_13T01970.1|CDS=1-1017|Name=YMR081C|ISF1,1251.362733,-2.002919048,0.159870199,-12.52840779,5.22E-36,7.40E-34,DOWN,ISF1,FALSE,NA
SK1_15T04800.1|CDS=1-1548|Name=YOR378W|AMF1,185.5630643,0.742718766,0.213345766,3.481291325,0.000499002,0.000989593,UP,AMF1,FALSE,NA
SK1_02T02540.1|CDS=1-1650|Name=YBR158W|AMN1,317.6266155,1.476161967,0.141449629,10.43595502,1.70E-25,8.10E-24,UP,AMN1,FALSE,NA
SK1_10T02320.1|CDS=1-474|Name=YJR047C|ANB1,97.63894853,3.019459814,0.311382173,9.696957888,3.11E-22,1.02E-20,UP,ANB1,FALSE,NA
